PassengerId,Survived,Pclass,SibSp,Gender,AgeFill,FareFill
96,0,1,0,1,71,34.6542
97,1,1,0,1,23,63.3583
98,1,2,0,0,34,23
99,0,2,1,1,34,26
100,0,3,0,0,28,7.8958
101,0,3,0,1,25,7.8958
102,0,1,0,1,21,77.2875
103,0,3,0,1,33,8.6542
104,0,3,2,1,37,7.925
105,0,3,0,1,28,7.8958
106,1,3,0,0,21,7.65
107,1,3,0,1,25,7.775
108,0,3,0,1,38,7.8958
109,1,3,1,0,21.5,24.15
110,0,1,0,1,47,52
111,0,3,1,0,14.5,14.4542
112,0,3,0,1,22,8.05
113,0,3,1,0,20,9.825
114,0,3,0,0,17,14.4583
115,0,3,0,1,21,7.925
116,0,3,0,1,70.5,7.75
117,0,2,1,1,29,21
118,0,1,0,1,24,247.5208
119,0,3,4,0,2,31.275
120,0,2,2,1,21,73.5
121,0,3,0,1,25,8.05
122,0,2,1,1,32.5,30.0708
123,1,2,0,0,32.5,13
124,0,1,0,1,54,77.2875
125,1,3,1,1,12,11.2417
126,0,3,0,1,25,7.75
127,1,3,0,1,24,7.1417
128,1,3,1,0,21.5,22.3583
129,0,3,0,1,45,6.975
130,0,3,0,1,33,7.8958
131,0,3,0,1,20,7.05
132,0,3,1,0,47,14.5
133,1,2,1,0,29,26
134,0,2,0,1,25,13
135,0,2,0,1,23,15.0458
136,1,1,0,0,19,26.2833
137,0,1,1,1,37,53.1
138,0,3,0,1,16,9.2167
139,0,1,0,1,24,79.2
140,0,3,0,0,21.5,15.2458
141,1,3,0,0,22,7.75
142,1,3,1,0,24,15.85
143,0,3,0,1,19,6.75
144,0,2,0,1,18,11.5
145,0,2,1,1,19,36.75
146,1,3,0,1,27,7.7958
147,0,3,2,0,9,34.375
148,0,2,0,1,36.5,26
149,0,2,0,1,42,13
150,0,2,0,1,51,12.525
151,1,1,1,0,22,66.6
152,0,3,0,1,55.5,8.05
153,0,3,0,1,40.5,14.5
154,0,3,0,1,25,7.3125
155,0,1,0,1,51,61.3792
156,1,3,0,0,16,7.7333
157,0,3,0,1,30,8.05
158,0,3,0,1,25,8.6625
159,0,3,8,1,25,69.55
160,0,3,0,1,44,16.1
161,1,2,0,0,40,15.75
162,0,3,0,1,26,7.775
163,0,3,0,1,17,8.6625
164,0,3,4,1,1,39.6875
165,1,3,0,1,9,20.525
166,1,1,0,0,35,55
167,0,3,1,0,45,27.9
168,0,1,0,1,40,25.925
169,0,3,0,1,28,56.4958
170,0,1,0,1,61,33.5
171,0,3,4,1,4,29.125
172,1,3,1,0,1,11.1333
173,0,3,0,1,21,7.925
174,0,1,0,1,56,30.6958
175,0,3,1,1,18,7.8542
176,0,3,3,1,25,25.4667
177,0,1,0,0,50,28.7125
178,0,2,0,1,30,13
179,0,3,0,1,36,0
180,0,3,8,0,21.5,69.55
181,0,2,0,1,30,15.05
182,0,3,4,1,9,31.3875
183,1,2,2,1,1,39
184,1,3,0,0,4,22.025
185,0,1,0,1,40,50
186,1,3,1,0,21.5,15.5
187,1,1,0,1,45,26.55
188,0,3,1,1,40,15.5
189,0,3,0,1,36,7.8958
190,1,2,0,0,32,13
191,0,2,0,1,19,13
192,1,3,1,0,19,7.8542
193,1,2,1,1,3,26
194,1,1,0,0,44,27.7208
195,1,1,0,0,58,146.5208
196,0,3,0,1,25,7.75
197,0,3,0,1,42,8.4042
198,1,3,0,0,21.5,7.75
199,0,2,0,0,24,13
200,0,3,0,1,28,9.5
201,0,3,8,1,25,69.55
202,0,3,0,1,34,6.4958
203,0,3,0,1,45.5,7.225
204,1,3,0,1,18,8.05
205,0,3,0,0,2,10.4625
206,0,3,1,1,32,15.85
207,1,3,0,1,26,18.7875
208,1,3,0,0,16,7.75
209,1,1,0,1,40,31
210,0,3,0,1,24,7.05
211,1,2,0,0,35,21
212,0,3,0,1,22,7.25
213,0,2,0,1,30,13
214,0,3,1,1,25,7.75
215,1,1,1,0,31,113.275
216,1,3,0,0,27,7.925
217,0,2,1,1,42,27
218,1,1,0,0,32,76.2917
219,0,2,0,1,30,10.5
220,1,3,0,1,16,8.05
221,0,2,0,1,27,13
222,0,3,0,1,51,8.05
223,0,3,0,1,25,7.8958
224,1,1,1,1,38,90
225,0,3,0,1,22,9.35
226,1,2,0,1,19,10.5
227,0,3,0,1,20.5,7.25
228,0,2,0,1,18,13
229,0,3,3,0,21.5,25.4667
230,1,1,1,0,35,83.475
231,0,3,0,1,29,7.775
232,0,2,0,1,59,13.5
233,1,3,4,0,5,31.3875
234,0,2,0,1,24,10.5
235,0,3,0,0,21.5,7.55
236,0,2,1,1,44,26
237,1,2,0,0,8,26.25
238,0,2,0,1,19,10.5
239,0,2,0,1,33,12.275
240,0,3,1,0,21.5,14.4542
241,1,3,1,0,21.5,15.5
242,0,2,0,1,29,10.5
243,0,3,0,1,22,7.125
244,0,3,0,1,30,7.225
245,0,1,2,1,44,90
246,0,3,0,0,25,7.775
247,1,2,0,0,24,14.5
248,1,1,1,1,37,52.5542
249,0,2,1,1,54,26
250,0,3,0,1,25,7.25
251,0,3,1,0,29,10.4625
252,0,1,0,1,62,26.55
253,0,3,1,1,30,16.1
254,0,3,0,0,41,20.2125
255,1,3,0,0,29,15.2458
256,1,1,0,0,35,79.2
257,1,1,0,0,30,86.5
258,1,1,0,0,35,512.3292
259,1,2,0,0,50,26
260,0,3,0,1,25,7.75
261,1,3,4,1,3,31.3875
262,0,1,1,1,52,79.65
263,0,1,0,1,40,0
264,0,3,0,0,21.5,7.75
265,0,2,0,1,36,10.5
266,0,3,4,1,16,39.6875
267,1,3,1,1,25,7.775
268,1,1,0,0,58,153.4625
269,1,1,0,0,35,135.6333
270,0,1,0,1,40,31
271,1,3,0,1,25,0
272,1,2,0,0,41,19.5
273,0,1,0,1,37,29.7
274,1,3,0,0,21.5,7.75
275,1,1,1,0,63,77.9583
276,0,3,0,0,45,7.75
277,0,2,0,1,30,0
278,0,3,4,1,7,29.125
279,1,3,1,0,35,20.25
280,0,3,0,1,65,7.75
281,0,3,0,1,28,7.8542
282,0,3,0,1,16,9.5
283,1,3,0,1,19,8.05
284,0,1,0,1,40,26
285,0,3,0,1,33,8.6625
286,1,3,0,1,30,9.5
287,0,3,0,1,22,7.8958
288,1,2,0,1,42,13
289,1,3,0,0,22,7.75
290,1,1,0,0,26,78.85
291,1,1,1,0,19,91.0792
292,0,2,0,1,36,12.875
293,0,3,0,0,24,8.85
294,0,3,0,1,24,7.8958
295,0,1,0,1,40,27.7208
296,0,3,0,1,23.5,7.2292
297,0,1,1,0,2,151.55
298,1,1,0,1,40,30.5
299,1,1,0,0,50,247.5208
300,1,3,0,0,21.5,7.75
301,1,3,2,1,25,23.25
302,0,3,0,1,19,0
303,1,2,0,0,28,12.35
304,0,3,0,1,25,8.05
305,1,1,1,1,0.92,151.55
306,1,1,0,0,35,110.8833
307,1,1,1,0,17,108.9
308,0,2,1,1,30,24
309,1,1,0,0,30,56.9292
310,1,1,0,0,24,83.1583
311,1,1,2,0,18,262.375
312,0,2,1,0,26,26
313,0,3,0,1,28,7.8958
314,0,2,1,1,43,26.25
315,1,3,0,0,26,7.8542
316,1,2,1,0,24,26
317,0,2,0,1,54,14
318,1,1,0,0,31,164.8667
319,1,1,1,0,40,134.5
320,0,3,0,1,22,7.25
321,0,3,0,1,27,7.8958
322,1,2,0,0,30,12.35
323,1,2,1,0,22,29
324,0,3,8,1,25,69.55
325,1,1,0,0,36,135.6333
326,0,3,0,1,61,6.2375
327,1,2,0,0,36,13
328,1,3,1,0,31,20.525
329,1,1,0,0,16,57.9792
330,1,3,2,0,21.5,23.25
331,0,1,0,1,45.5,28.5
332,0,1,0,1,38,153.4625
333,0,3,2,1,16,18
334,1,1,1,0,35,133.65
335,0,3,0,1,25,7.8958
336,0,1,1,1,29,66.6
337,1,1,0,0,41,134.5
338,1,3,0,1,45,8.05
339,0,1,0,1,45,35.5
340,1,2,1,1,2,26
341,1,1,3,0,24,263
342,0,2,0,1,28,13
343,0,2,0,1,25,13
344,0,2,0,1,36,13
345,1,2,0,0,24,13
346,1,2,0,0,40,13
347,1,3,1,0,21.5,16.1
348,1,3,1,1,3,15.9
349,0,3,0,1,42,8.6625
350,0,3,0,1,23,9.225
351,0,1,0,1,40,35
352,0,3,1,1,15,7.2292
353,0,3,1,1,25,17.8
354,0,3,0,1,25,7.225
355,0,3,0,1,28,9.5
356,1,1,0,0,22,55
357,0,2,0,0,38,13
358,1,3,0,0,21.5,7.8792
359,1,3,0,0,21.5,7.8792
360,0,3,1,1,40,27.9
361,0,2,1,1,29,27.7208
362,0,3,0,0,45,14.4542
363,0,3,0,1,35,7.05
364,0,3,1,1,25,15.5
365,0,3,0,1,30,7.25
366,1,1,1,0,60,75.25
367,1,3,0,0,21.5,7.2292
368,1,3,0,0,21.5,7.75
369,1,1,0,0,24,69.3
370,1,1,1,1,25,55.4417
371,0,3,1,1,18,6.4958
372,0,3,0,1,19,8.05
373,0,1,0,1,22,135.6333
374,0,3,3,0,3,21.075
375,1,1,1,0,35,82.1708
376,1,3,0,0,22,7.25
377,0,1,0,1,27,211.5
378,0,3,0,1,20,4.0125
379,0,3,0,1,19,7.775
380,1,1,0,0,42,227.525
381,1,3,0,0,1,15.7417
382,0,3,0,1,32,7.925
383,1,1,1,0,35,52
384,0,3,0,1,25,7.8958
385,0,2,0,1,18,73.5
386,0,3,5,1,1,46.9
387,1,2,0,0,36,13
388,0,3,0,1,25,7.7292
389,1,2,0,0,17,12
390,1,1,1,1,36,120
391,1,3,0,1,21,7.7958
392,0,3,2,1,28,7.925
393,1,1,1,0,23,113.275
394,1,3,0,0,24,16.7
395,0,3,0,1,22,7.7958
396,0,3,0,0,31,7.8542
397,0,2,0,1,46,26
398,0,2,0,1,23,10.5
399,1,2,0,0,28,12.65
400,1,3,0,1,39,7.925
401,0,3,0,1,26,8.05
402,0,3,1,0,21,9.825
403,0,3,1,1,28,15.85
404,0,3,0,0,20,8.6625
405,0,2,1,1,34,21
406,0,3,0,1,51,7.75
407,1,2,1,1,3,18.75
408,0,3,0,1,21,7.775
409,0,3,3,0,21.5,25.4667
410,0,3,0,1,25,7.8958
411,0,3,0,1,25,6.8583
412,1,1,1,0,33,90
413,0,2,0,1,30,0
414,1,3,0,1,44,7.925
415,0,3,0,0,21.5,8.05
416,1,2,1,0,34,32.5
417,1,2,0,0,18,13
418,0,2,0,1,30,13
419,0,3,0,0,10,24.15
420,0,3,0,1,25,7.8958
421,0,3,0,1,21,7.7333
422,0,3,0,1,29,7.875
423,0,3,1,0,28,14.4
424,0,3,1,1,18,20.2125
425,0,3,0,1,25,7.25
426,1,2,1,0,28,26
427,1,2,0,0,19,26
428,0,3,0,1,25,7.75
429,1,3,0,1,32,8.05
430,1,1,0,1,28,26.55
431,1,3,1,0,21.5,16.1
432,1,2,1,0,42,26
433,0,3,0,1,17,7.125
434,0,1,1,1,50,55.9
435,1,1,1,0,14,120
436,0,3,2,0,21,34.375
437,1,2,2,0,24,18.75
438,0,1,1,1,64,263
439,0,2,0,1,31,10.5
440,1,2,1,0,45,26.25
441,0,3,0,1,20,9.5
442,0,3,1,1,25,7.775
443,1,2,0,0,28,13
444,1,3,0,1,25,8.1125
445,1,1,0,1,4,81.8583
446,1,2,0,0,13,19.5
447,1,1,0,1,34,26.55
448,1,3,2,0,5,19.2583
449,1,1,0,1,52,30.5
450,0,2,1,1,36,27.75
451,0,3,1,1,25,19.9667
452,0,1,0,1,30,27.75
453,1,1,1,1,49,89.1042
454,0,3,0,1,25,8.05
455,1,3,0,1,29,7.8958
456,0,1,0,1,65,26.55
457,1,1,1,0,35,51.8625
458,1,2,0,0,50,10.5
459,0,3,0,1,25,7.75
460,1,1,0,1,48,26.55
461,0,3,0,1,34,8.05
462,0,1,0,1,47,38.5
463,0,2,0,1,48,13
464,0,3,0,1,25,8.05
465,0,3,0,1,38,7.05
466,0,2,0,1,30,0
467,0,1,0,1,56,26.55
468,0,3,0,1,25,7.725
469,1,3,2,0,0.75,19.2583
470,0,3,0,1,25,7.25
471,0,3,0,1,38,8.6625
472,1,2,1,0,33,27.75
473,1,2,0,0,23,13.7917
474,0,3,0,0,22,9.8375
475,0,1,0,1,40,52
476,0,2,1,1,34,21
477,0,3,1,1,29,7.0458
478,0,3,0,1,22,7.5208
479,1,3,0,0,2,12.2875
480,0,3,5,1,9,46.9
481,0,2,0,1,30,0
482,0,3,0,1,50,8.05
483,1,3,0,0,63,9.5875
484,1,1,1,1,25,91.0792
485,0,3,3,0,21.5,25.4667
486,1,1,1,0,35,90
487,0,1,0,1,58,29.7
488,0,3,0,1,30,8.05
489,1,3,1,1,9,15.9
490,0,3,1,1,25,19.9667
491,0,3,0,1,21,7.25
492,0,1,0,1,55,30.5
493,0,1,0,1,71,49.5042
494,0,3,0,1,21,8.05
495,0,3,0,1,25,14.4583
496,1,1,1,0,54,78.2667
497,0,3,0,1,25,15.1
498,0,1,1,0,25,151.55
499,0,3,0,1,24,7.7958
500,0,3,0,1,17,8.6625
501,0,3,0,0,21,7.75
502,0,3,0,0,21.5,7.6292
503,0,3,0,0,37,9.5875
504,1,1,0,0,16,86.5
505,0,1,1,1,18,108.9
506,1,2,0,0,33,26
507,1,1,0,1,40,26.55
508,0,3,0,1,28,22.525
509,1,3,0,1,26,56.4958
510,1,3,0,1,29,7.75
511,0,3,0,1,25,8.05
512,1,1,0,1,36,26.2875
513,1,1,1,0,54,59.4
514,0,3,0,1,24,7.4958
515,0,1,0,1,47,34.0208
516,1,2,0,0,34,10.5
517,0,3,0,1,25,24.15
518,1,2,1,0,36,26
519,0,3,0,1,32,7.8958
520,1,1,0,0,30,93.5
521,0,3,0,1,22,7.8958
522,0,3,0,1,25,7.225
523,1,1,0,0,44,57.9792
524,0,3,0,1,25,7.2292
525,0,3,0,1,40.5,7.75
526,1,2,0,0,50,10.5
527,0,1,0,1,40,221.7792
528,0,3,0,1,39,7.925
529,0,2,2,1,23,11.5
530,1,2,1,0,2,26
531,0,3,0,1,25,7.2292
532,0,3,1,1,17,7.2292
533,1,3,0,0,21.5,22.3583
534,0,3,0,0,30,8.6625
535,1,2,0,0,7,26.25
536,0,1,0,1,45,26.55
537,1,1,0,0,30,106.425
538,0,3,0,1,25,14.5
539,1,1,0,0,22,49.5
540,1,1,0,0,36,71
541,0,3,4,0,9,31.275
542,0,3,4,0,11,31.275
543,1,2,1,1,32,26
544,0,1,1,1,50,106.425
545,0,1,0,1,64,26
546,1,2,1,0,19,26
547,1,2,0,1,30,13.8625
548,0,3,1,1,33,20.525
549,1,2,1,1,8,36.75
550,1,1,0,1,17,110.8833
551,0,2,0,1,27,26
552,0,3,0,1,25,7.8292
553,1,3,0,1,22,7.225
554,1,3,0,0,22,7.775
555,0,1,0,1,62,26.55
556,1,1,1,0,48,39.6
557,0,1,0,1,40,227.525
558,1,1,1,0,39,79.65
559,1,3,1,0,36,17.4
560,0,3,0,1,25,7.75
561,0,3,0,1,40,7.8958
562,0,2,0,1,28,13.5
563,0,3,0,1,25,8.05
564,0,3,0,0,21.5,8.05
565,0,3,2,1,24,24.15
566,0,3,0,1,19,7.8958
567,0,3,0,0,29,21.075
568,0,3,0,1,25,7.2292
569,1,3,0,1,32,7.8542
570,1,2,0,1,62,10.5
571,1,1,2,0,53,51.4792
572,1,1,0,1,36,26.3875
573,1,3,0,0,21.5,7.75
574,0,3,0,1,16,8.05
575,0,3,0,1,19,14.5
576,1,2,0,0,34,13
577,1,1,1,0,39,55.9
578,0,3,1,0,21.5,14.4583
579,1,3,0,1,32,7.925
580,1,2,1,0,25,30
581,1,1,1,0,39,110.8833
582,0,2,0,1,54,26
583,0,1,0,1,36,40.125
584,0,3,0,1,25,8.7125
585,1,1,0,0,18,79.65
586,0,2,0,1,47,15
587,1,1,1,1,60,79.2
588,0,3,0,1,22,8.05
589,0,3,0,1,25,8.05
590,0,3,0,1,35,7.125
591,1,1,1,0,52,78.2667
592,0,3,0,1,47,7.25
593,0,3,0,0,21.5,7.75
594,0,2,1,1,37,26
595,0,3,1,1,36,24.15
596,1,2,0,0,28,33
597,0,3,0,1,49,0
598,0,3,0,1,25,7.225
599,1,1,1,1,49,56.9292
600,1,2,2,0,24,27
601,0,3,0,1,25,7.8958
602,0,1,0,1,40,42.4
603,0,3,0,1,44,8.05
604,1,1,0,1,35,26.55
605,0,3,1,1,36,15.55
606,0,3,0,1,30,7.8958
607,1,1,0,1,27,30.5
608,1,2,1,0,22,41.5792
609,1,1,0,0,40,153.4625
610,0,3,1,0,39,31.275
611,0,3,0,1,25,7.05
612,1,3,1,0,21.5,15.5
613,0,3,0,1,25,7.75
614,0,3,0,1,35,8.05
615,1,2,1,0,24,65
616,0,3,1,1,34,14.4
617,0,3,1,0,26,16.1
618,1,2,2,0,4,39
619,0,2,0,1,26,10.5
620,0,3,1,1,27,14.4542
621,1,1,1,1,42,52.5542
622,1,3,1,1,20,15.7417
623,0,3,0,1,21,7.8542
624,0,3,0,1,21,16.1
625,0,1,0,1,61,32.3208
626,0,2,0,1,57,12.35
627,1,1,0,0,21,77.9583
628,0,3,0,1,26,7.8958
629,0,3,0,1,25,7.7333
630,1,1,0,1,80,30
631,0,3,0,1,51,7.0542
632,1,1,0,1,32,30.5
633,0,1,0,1,40,0
634,0,3,3,0,9,27.9
635,1,2,0,0,28,13
636,0,3,0,1,32,7.925
637,0,2,1,1,31,26.25
638,0,3,0,0,41,39.6875
639,0,3,1,1,25,16.1
640,0,3,0,1,20,7.8542
641,1,1,0,0,24,69.3
642,0,3,3,0,2,27.9
643,1,3,0,1,25,56.4958
644,1,3,2,0,0.75,19.2583
645,1,1,1,1,48,76.7292
646,0,3,0,1,19,7.8958
647,1,1,0,1,56,35.5
648,0,3,0,1,25,7.55
649,1,3,0,0,23,7.55
650,0,3,0,1,25,7.8958
651,1,2,0,0,18,23
652,0,3,0,1,21,8.4333
653,1,3,0,0,21.5,7.8292
654,0,3,0,0,18,6.75
655,0,2,2,1,24,73.5
656,0,3,0,1,25,7.8958
657,0,3,1,0,32,15.5
658,0,2,0,1,23,13
659,0,1,0,1,58,113.275
660,1,1,2,1,50,133.65
661,0,3,0,1,40,7.225
662,0,1,0,1,47,25.5875
663,0,3,0,1,36,7.4958
664,1,3,1,1,20,7.925
665,0,2,2,1,32,73.5
666,0,2,0,1,25,13
667,0,3,0,1,25,7.775
668,0,3,0,1,43,8.05
669,1,1,1,0,35,52
670,1,2,1,0,40,39
671,0,1,1,1,31,52
672,0,2,0,1,70,10.5
673,1,2,0,1,31,13
674,0,2,0,1,30,0
675,0,3,0,1,18,7.775
676,0,3,0,1,24.5,8.05
677,1,3,0,0,18,9.8417
678,0,3,1,0,43,46.9
679,1,1,0,1,36,512.3292
680,0,3,0,0,21.5,8.1375
681,1,1,0,1,27,76.7292
682,0,3,0,1,20,9.225
683,0,3,5,1,14,46.9
684,0,2,1,1,60,39
685,0,2,1,1,25,41.5792
686,0,3,4,1,14,39.6875
687,0,3,0,1,19,10.1708
688,0,3,0,1,18,7.7958
689,1,1,0,0,15,211.3375
690,1,1,1,1,31,57
691,1,3,0,0,4,13.4167
692,1,3,0,1,25,56.4958
693,0,3,0,1,25,7.225
694,0,1,0,1,60,26.55
695,0,2,0,1,52,13.5
696,0,3,0,1,44,8.05
697,1,3,0,0,21.5,7.7333
698,0,1,1,1,49,110.8833
699,0,3,0,1,42,7.65
700,1,1,1,0,18,227.525
701,1,1,0,1,35,26.2875
702,0,3,0,0,18,14.4542
703,0,3,0,1,25,7.7417
704,0,3,1,1,26,7.8542
705,0,2,0,1,39,26
706,1,2,0,0,45,13.5
707,1,1,0,1,42,26.2875
708,1,1,0,0,22,151.55
709,1,3,1,1,25,15.2458
710,1,1,0,0,24,49.5042
711,0,1,0,1,40,26.55
712,1,1,1,1,48,52
713,0,3,0,1,29,9.4833
714,0,2,0,1,52,13
715,0,3,0,1,19,7.65
716,1,1,0,0,38,227.525
717,1,2,0,0,27,10.5
718,0,3,0,1,25,15.5
719,0,3,0,1,33,7.775
720,1,2,0,0,6,33
721,0,3,1,1,17,7.0542
722,0,2,0,1,34,13
723,0,2,0,1,50,13
724,1,1,1,1,27,53.1
725,0,3,0,1,20,8.6625
726,1,2,3,0,30,21
727,1,3,0,0,21.5,7.7375
728,0,2,1,1,25,26
729,0,3,1,0,25,7.925
730,1,1,0,0,29,211.3375
731,0,3,0,1,11,18.7875
732,0,2,0,1,30,0
733,0,2,0,1,23,13
734,0,2,0,1,23,13
735,0,3,0,1,28.5,16.1
736,0,3,1,0,48,34.375
737,1,1,0,1,35,512.3292
738,0,3,0,1,25,7.8958
739,0,3,0,1,25,7.8958
740,1,1,0,1,40,30
741,0,1,1,1,36,78.85
742,1,1,2,0,21,262.375
743,0,3,1,1,24,16.1
744,1,3,0,1,31,7.925
745,0,1,1,1,70,71
746,0,3,1,1,16,20.25
747,1,2,0,0,30,13
748,0,1,1,1,19,53.1
749,0,3,0,1,31,7.75
750,1,2,1,0,4,23
751,1,3,0,1,6,12.475
752,0,3,0,1,33,9.5
753,0,3,0,1,23,7.8958
754,1,2,1,0,48,65
755,1,2,1,1,0.67,14.5
756,0,3,0,1,28,7.7958
757,0,2,0,1,18,11.5
758,0,3,0,1,34,8.05
759,1,1,0,0,33,86.5
760,0,3,0,1,25,14.5
761,0,3,0,1,41,7.125
762,1,3,0,1,20,7.2292
763,1,1,1,0,36,120
764,0,3,0,1,16,7.775
765,1,1,1,0,51,77.9583
766,0,1,0,1,40,39.6
767,0,3,0,0,30.5,7.75
768,0,3,1,1,25,24.15
769,0,3,0,1,32,8.3625
770,0,3,0,1,24,9.5
771,0,3,0,1,48,7.8542
772,0,2,0,0,57,10.5
773,0,3,0,1,25,7.225
774,1,2,1,0,54,23
775,0,3,0,1,18,7.75
776,0,3,0,1,25,7.75
777,1,3,0,0,5,12.475
778,0,3,0,1,25,7.7375
779,1,1,0,0,43,211.3375
780,1,3,0,0,13,7.2292
781,1,1,1,0,17,57
782,0,1,0,1,29,30
783,0,3,1,1,25,23.45
784,0,3,0,1,25,7.05
785,0,3,0,1,25,7.25
786,1,3,0,0,18,7.4958
787,0,3,4,1,8,29.125
788,1,3,1,1,1,20.575
789,0,1,0,1,46,79.2
790,0,3,0,1,25,7.75
791,0,2,0,1,16,26
792,0,3,8,0,21.5,69.55
793,0,1,0,1,40,30.6958
794,0,3,0,1,25,7.8958
795,0,2,0,1,39,13
796,1,1,0,0,49,25.9292
797,1,3,0,0,31,8.6833
798,0,3,0,1,30,7.2292
799,0,3,1,0,30,24.15
800,0,2,0,1,34,13
801,1,2,1,0,31,26.25
802,1,1,1,1,11,120
803,1,3,0,1,0.42,8.5167
804,1,3,0,1,27,6.975
805,0,3,0,1,31,7.775
806,0,1,0,1,39,0
807,0,3,0,0,18,7.775
808,0,2,0,1,39,13
809,1,1,1,0,33,53.1
810,0,3,0,1,26,7.8875
811,0,3,0,1,39,24.15
812,0,2,0,1,35,10.5
813,0,3,4,0,6,31.275
814,0,3,0,1,30.5,8.05
815,0,1,0,1,40,0
816,0,3,0,0,23,7.925
817,0,2,1,1,31,37.0042
818,0,3,0,1,43,6.45
819,0,3,3,1,10,27.9
820,1,1,1,0,52,93.5
821,1,3,0,1,27,8.6625
822,0,1,0,1,38,0
823,1,3,0,0,27,12.475
824,0,3,4,1,2,39.6875
825,0,3,0,1,25,6.95
826,0,3,0,1,25,56.4958
827,1,2,0,1,1,37.0042
828,1,3,0,1,25,7.75
829,1,1,0,0,62,80
830,1,3,1,0,15,14.4542
831,1,2,1,1,0.83,18.75
832,0,3,0,1,25,7.2292
833,0,3,0,1,23,7.8542
834,0,3,0,1,18,8.3
835,1,1,1,0,39,83.1583
836,0,3,0,1,21,8.6625
837,0,3,0,1,25,8.05
838,1,3,0,1,32,56.4958
839,1,1,0,1,40,29.7
840,0,3,0,1,20,7.925
841,0,2,0,1,16,10.5
842,1,1,0,0,30,31
843,0,3,0,1,34.5,6.4375
844,0,3,0,1,17,8.6625
845,0,3,0,1,42,7.55
846,0,3,8,1,25,69.55
847,0,3,0,1,35,7.8958
848,0,2,0,1,28,33
849,1,1,1,0,35,89.1042
850,0,3,4,1,4,31.275
851,0,3,0,1,74,7.775
852,0,3,1,0,9,15.2458
853,1,1,0,0,16,39.4
854,0,2,1,0,44,26
855,1,3,0,0,18,9.35
856,1,1,1,0,45,164.8667
857,1,1,0,1,51,26.55
858,1,3,0,0,24,19.2583
859,0,3,0,1,25,7.2292
860,0,3,2,1,41,14.1083
861,0,2,1,1,21,11.5
862,1,1,0,0,48,25.9292
