,Survived,Pclass,SibSp,Parch,Gender,AgeFill,FareFill,PortFill
191,0,2,0,0,1,19.0,13.0,3.0
192,1,3,1,0,0,19.0,7.8542,3.0
193,1,2,1,1,1,3.0,26.0,3.0
194,1,1,0,0,0,44.0,27.7208,1.0
195,1,1,0,0,0,58.0,146.5208,1.0
196,0,3,0,0,1,25.0,7.75,2.0
197,0,3,0,1,1,42.0,8.4042,3.0
198,1,3,0,0,0,21.5,7.75,2.0
199,0,2,0,0,0,24.0,13.0,3.0
200,0,3,0,0,1,28.0,9.5,3.0
201,0,3,8,2,1,25.0,69.55,3.0
202,0,3,0,0,1,34.0,6.4958,3.0
203,0,3,0,0,1,45.5,7.225,1.0
204,1,3,0,0,1,18.0,8.05,3.0
205,0,3,0,1,0,2.0,10.4625,3.0
206,0,3,1,0,1,32.0,15.85,3.0
207,1,3,0,0,1,26.0,18.7875,1.0
208,1,3,0,0,0,16.0,7.75,2.0
209,1,1,0,0,1,40.0,31.0,1.0
210,0,3,0,0,1,24.0,7.05,3.0
211,1,2,0,0,0,35.0,21.0,3.0
212,0,3,0,0,1,22.0,7.25,3.0
213,0,2,0,0,1,30.0,13.0,3.0
214,0,3,1,0,1,25.0,7.75,2.0
215,1,1,1,0,0,31.0,113.275,1.0
216,1,3,0,0,0,27.0,7.925,3.0
217,0,2,1,0,1,42.0,27.0,3.0
218,1,1,0,0,0,32.0,76.2917,1.0
219,0,2,0,0,1,30.0,10.5,3.0
220,1,3,0,0,1,16.0,8.05,3.0
221,0,2,0,0,1,27.0,13.0,3.0
222,0,3,0,0,1,51.0,8.05,3.0
223,0,3,0,0,1,25.0,7.8958,3.0
224,1,1,1,0,1,38.0,90.0,3.0
225,0,3,0,0,1,22.0,9.35,3.0
226,1,2,0,0,1,19.0,10.5,3.0
227,0,3,0,0,1,20.5,7.25,3.0
228,0,2,0,0,1,18.0,13.0,3.0
229,0,3,3,1,0,21.5,25.4667,3.0
230,1,1,1,0,0,35.0,83.475,3.0
231,0,3,0,0,1,29.0,7.775,3.0
232,0,2,0,0,1,59.0,13.5,3.0
233,1,3,4,2,0,5.0,31.3875,3.0
234,0,2,0,0,1,24.0,10.5,3.0
235,0,3,0,0,0,21.5,7.55,3.0
236,0,2,1,0,1,44.0,26.0,3.0
237,1,2,0,2,0,8.0,26.25,3.0
238,0,2,0,0,1,19.0,10.5,3.0
239,0,2,0,0,1,33.0,12.275,3.0
240,0,3,1,0,0,21.5,14.4542,1.0
241,1,3,1,0,0,21.5,15.5,2.0
242,0,2,0,0,1,29.0,10.5,3.0
243,0,3,0,0,1,22.0,7.125,3.0
244,0,3,0,0,1,30.0,7.225,1.0
245,0,1,2,0,1,44.0,90.0,2.0
246,0,3,0,0,0,25.0,7.775,3.0
247,1,2,0,2,0,24.0,14.5,3.0
248,1,1,1,1,1,37.0,52.5542,3.0
249,0,2,1,0,1,54.0,26.0,3.0
250,0,3,0,0,1,25.0,7.25,3.0
251,0,3,1,1,0,29.0,10.4625,3.0
252,0,1,0,0,1,62.0,26.55,3.0
253,0,3,1,0,1,30.0,16.1,3.0
254,0,3,0,2,0,41.0,20.2125,3.0
255,1,3,0,2,0,29.0,15.2458,1.0
256,1,1,0,0,0,35.0,79.2,1.0
257,1,1,0,0,0,30.0,86.5,3.0
258,1,1,0,0,0,35.0,512.3292,1.0
259,1,2,0,1,0,50.0,26.0,3.0
260,0,3,0,0,1,25.0,7.75,2.0
261,1,3,4,2,1,3.0,31.3875,3.0
262,0,1,1,1,1,52.0,79.65,3.0
263,0,1,0,0,1,40.0,0.0,3.0
264,0,3,0,0,0,21.5,7.75,2.0
265,0,2,0,0,1,36.0,10.5,3.0
266,0,3,4,1,1,16.0,39.6875,3.0
267,1,3,1,0,1,25.0,7.775,3.0
268,1,1,0,1,0,58.0,153.4625,3.0
269,1,1,0,0,0,35.0,135.6333,3.0
270,0,1,0,0,1,40.0,31.0,3.0
271,1,3,0,0,1,25.0,0.0,3.0
272,1,2,0,1,0,41.0,19.5,3.0
273,0,1,0,1,1,37.0,29.7,1.0
274,1,3,0,0,0,21.5,7.75,2.0
275,1,1,1,0,0,63.0,77.9583,3.0
276,0,3,0,0,0,45.0,7.75,3.0
277,0,2,0,0,1,30.0,0.0,3.0
278,0,3,4,1,1,7.0,29.125,2.0
279,1,3,1,1,0,35.0,20.25,3.0
280,0,3,0,0,1,65.0,7.75,2.0
281,0,3,0,0,1,28.0,7.8542,3.0
282,0,3,0,0,1,16.0,9.5,3.0
283,1,3,0,0,1,19.0,8.05,3.0
284,0,1,0,0,1,40.0,26.0,3.0
285,0,3,0,0,1,33.0,8.6625,1.0
286,1,3,0,0,1,30.0,9.5,3.0
287,0,3,0,0,1,22.0,7.8958,3.0
288,1,2,0,0,1,42.0,13.0,3.0
289,1,3,0,0,0,22.0,7.75,2.0
290,1,1,0,0,0,26.0,78.85,3.0
291,1,1,1,0,0,19.0,91.0792,1.0
292,0,2,0,0,1,36.0,12.875,1.0
293,0,3,0,0,0,24.0,8.85,3.0
294,0,3,0,0,1,24.0,7.8958,3.0
295,0,1,0,0,1,40.0,27.7208,1.0
296,0,3,0,0,1,23.5,7.2292,1.0
297,0,1,1,2,0,2.0,151.55,3.0
298,1,1,0,0,1,40.0,30.5,3.0
299,1,1,0,1,0,50.0,247.5208,1.0
300,1,3,0,0,0,21.5,7.75,2.0
301,1,3,2,0,1,25.0,23.25,2.0
302,0,3,0,0,1,19.0,0.0,3.0
303,1,2,0,0,0,28.0,12.35,2.0
304,0,3,0,0,1,25.0,8.05,3.0
305,1,1,1,2,1,0.92,151.55,3.0
306,1,1,0,0,0,35.0,110.8833,1.0
307,1,1,1,0,0,17.0,108.9,1.0
308,0,2,1,0,1,30.0,24.0,1.0
309,1,1,0,0,0,30.0,56.9292,1.0
310,1,1,0,0,0,24.0,83.1583,1.0
311,1,1,2,2,0,18.0,262.375,1.0
312,0,2,1,1,0,26.0,26.0,3.0
313,0,3,0,0,1,28.0,7.8958,3.0
314,0,2,1,1,1,43.0,26.25,3.0
315,1,3,0,0,0,26.0,7.8542,3.0
316,1,2,1,0,0,24.0,26.0,3.0
317,0,2,0,0,1,54.0,14.0,3.0
318,1,1,0,2,0,31.0,164.8667,3.0
319,1,1,1,1,0,40.0,134.5,1.0
320,0,3,0,0,1,22.0,7.25,3.0
321,0,3,0,0,1,27.0,7.8958,3.0
322,1,2,0,0,0,30.0,12.35,2.0
323,1,2,1,1,0,22.0,29.0,3.0
324,0,3,8,2,1,25.0,69.55,3.0
325,1,1,0,0,0,36.0,135.6333,1.0
326,0,3,0,0,1,61.0,6.2375,3.0
327,1,2,0,0,0,36.0,13.0,3.0
328,1,3,1,1,0,31.0,20.525,3.0
329,1,1,0,1,0,16.0,57.9792,1.0
330,1,3,2,0,0,21.5,23.25,2.0
331,0,1,0,0,1,45.5,28.5,3.0
332,0,1,0,1,1,38.0,153.4625,3.0
333,0,3,2,0,1,16.0,18.0,3.0
334,1,1,1,0,0,35.0,133.65,3.0
335,0,3,0,0,1,25.0,7.8958,3.0
336,0,1,1,0,1,29.0,66.6,3.0
337,1,1,0,0,0,41.0,134.5,1.0
338,1,3,0,0,1,45.0,8.05,3.0
339,0,1,0,0,1,45.0,35.5,3.0
340,1,2,1,1,1,2.0,26.0,3.0
341,1,1,3,2,0,24.0,263.0,3.0
342,0,2,0,0,1,28.0,13.0,3.0
343,0,2,0,0,1,25.0,13.0,3.0
344,0,2,0,0,1,36.0,13.0,3.0
345,1,2,0,0,0,24.0,13.0,3.0
346,1,2,0,0,0,40.0,13.0,3.0
347,1,3,1,0,0,21.5,16.1,3.0
348,1,3,1,1,1,3.0,15.9,3.0
349,0,3,0,0,1,42.0,8.6625,3.0
350,0,3,0,0,1,23.0,9.225,3.0
351,0,1,0,0,1,40.0,35.0,3.0
352,0,3,1,1,1,15.0,7.2292,1.0
353,0,3,1,0,1,25.0,17.8,3.0
354,0,3,0,0,1,25.0,7.225,1.0
355,0,3,0,0,1,28.0,9.5,3.0
356,1,1,0,1,0,22.0,55.0,3.0
357,0,2,0,0,0,38.0,13.0,3.0
358,1,3,0,0,0,21.5,7.8792,2.0
359,1,3,0,0,0,21.5,7.8792,2.0
360,0,3,1,4,1,40.0,27.9,3.0
361,0,2,1,0,1,29.0,27.7208,1.0
362,0,3,0,1,0,45.0,14.4542,1.0
363,0,3,0,0,1,35.0,7.05,3.0
364,0,3,1,0,1,25.0,15.5,2.0
365,0,3,0,0,1,30.0,7.25,3.0
366,1,1,1,0,0,60.0,75.25,1.0
367,1,3,0,0,0,21.5,7.2292,1.0
368,1,3,0,0,0,21.5,7.75,2.0
369,1,1,0,0,0,24.0,69.3,1.0
370,1,1,1,0,1,25.0,55.4417,1.0
371,0,3,1,0,1,18.0,6.4958,3.0
372,0,3,0,0,1,19.0,8.05,3.0
373,0,1,0,0,1,22.0,135.6333,1.0
374,0,3,3,1,0,3.0,21.075,3.0
375,1,1,1,0,0,35.0,82.1708,1.0
376,1,3,0,0,0,22.0,7.25,3.0
377,0,1,0,2,1,27.0,211.5,1.0
378,0,3,0,0,1,20.0,4.0125,1.0
379,0,3,0,0,1,19.0,7.775,3.0
380,1,1,0,0,0,42.0,227.525,1.0
381,1,3,0,2,0,1.0,15.7417,1.0
382,0,3,0,0,1,32.0,7.925,3.0
383,1,1,1,0,0,35.0,52.0,3.0
384,0,3,0,0,1,25.0,7.8958,3.0
385,0,2,0,0,1,18.0,73.5,3.0
386,0,3,5,2,1,1.0,46.9,3.0
387,1,2,0,0,0,36.0,13.0,3.0
388,0,3,0,0,1,25.0,7.7292,2.0
389,1,2,0,0,0,17.0,12.0,1.0
390,1,1,1,2,1,36.0,120.0,3.0
391,1,3,0,0,1,21.0,7.7958,3.0
392,0,3,2,0,1,28.0,7.925,3.0
393,1,1,1,0,0,23.0,113.275,1.0
394,1,3,0,2,0,24.0,16.7,3.0
395,0,3,0,0,1,22.0,7.7958,3.0
396,0,3,0,0,0,31.0,7.8542,3.0
397,0,2,0,0,1,46.0,26.0,3.0
398,0,2,0,0,1,23.0,10.5,3.0
399,1,2,0,0,0,28.0,12.65,3.0
400,1,3,0,0,1,39.0,7.925,3.0
401,0,3,0,0,1,26.0,8.05,3.0
402,0,3,1,0,0,21.0,9.825,3.0
403,0,3,1,0,1,28.0,15.85,3.0
404,0,3,0,0,0,20.0,8.6625,3.0
405,0,2,1,0,1,34.0,21.0,3.0
406,0,3,0,0,1,51.0,7.75,3.0
407,1,2,1,1,1,3.0,18.75,3.0
408,0,3,0,0,1,21.0,7.775,3.0
409,0,3,3,1,0,21.5,25.4667,3.0
410,0,3,0,0,1,25.0,7.8958,3.0
411,0,3,0,0,1,25.0,6.8583,2.0
412,1,1,1,0,0,33.0,90.0,2.0
413,0,2,0,0,1,30.0,0.0,3.0
414,1,3,0,0,1,44.0,7.925,3.0
415,0,3,0,0,0,21.5,8.05,3.0
416,1,2,1,1,0,34.0,32.5,3.0
417,1,2,0,2,0,18.0,13.0,3.0
418,0,2,0,0,1,30.0,13.0,3.0
419,0,3,0,2,0,10.0,24.15,3.0
420,0,3,0,0,1,25.0,7.8958,1.0
421,0,3,0,0,1,21.0,7.7333,2.0
422,0,3,0,0,1,29.0,7.875,3.0
423,0,3,1,1,0,28.0,14.4,3.0
424,0,3,1,1,1,18.0,20.2125,3.0
425,0,3,0,0,1,25.0,7.25,3.0
426,1,2,1,0,0,28.0,26.0,3.0
427,1,2,0,0,0,19.0,26.0,3.0
428,0,3,0,0,1,25.0,7.75,2.0
429,1,3,0,0,1,32.0,8.05,3.0
430,1,1,0,0,1,28.0,26.55,3.0
431,1,3,1,0,0,21.5,16.1,3.0
432,1,2,1,0,0,42.0,26.0,3.0
433,0,3,0,0,1,17.0,7.125,3.0
434,0,1,1,0,1,50.0,55.9,3.0
435,1,1,1,2,0,14.0,120.0,3.0
436,0,3,2,2,0,21.0,34.375,3.0
437,1,2,2,3,0,24.0,18.75,3.0
438,0,1,1,4,1,64.0,263.0,3.0
439,0,2,0,0,1,31.0,10.5,3.0
440,1,2,1,1,0,45.0,26.25,3.0
441,0,3,0,0,1,20.0,9.5,3.0
442,0,3,1,0,1,25.0,7.775,3.0
443,1,2,0,0,0,28.0,13.0,3.0
444,1,3,0,0,1,25.0,8.1125,3.0
445,1,1,0,2,1,4.0,81.8583,3.0
446,1,2,0,1,0,13.0,19.5,3.0
447,1,1,0,0,1,34.0,26.55,3.0
448,1,3,2,1,0,5.0,19.2583,1.0
449,1,1,0,0,1,52.0,30.5,3.0
450,0,2,1,2,1,36.0,27.75,3.0
451,0,3,1,0,1,25.0,19.9667,3.0
452,0,1,0,0,1,30.0,27.75,1.0
453,1,1,1,0,1,49.0,89.1042,1.0
454,0,3,0,0,1,25.0,8.05,3.0
455,1,3,0,0,1,29.0,7.8958,1.0
456,0,1,0,0,1,65.0,26.55,3.0
457,1,1,1,0,0,35.0,51.8625,3.0
458,1,2,0,0,0,50.0,10.5,3.0
459,0,3,0,0,1,25.0,7.75,2.0
460,1,1,0,0,1,48.0,26.55,3.0
461,0,3,0,0,1,34.0,8.05,3.0
462,0,1,0,0,1,47.0,38.5,3.0
463,0,2,0,0,1,48.0,13.0,3.0
464,0,3,0,0,1,25.0,8.05,3.0
465,0,3,0,0,1,38.0,7.05,3.0
466,0,2,0,0,1,30.0,0.0,3.0
467,0,1,0,0,1,56.0,26.55,3.0
468,0,3,0,0,1,25.0,7.725,2.0
469,1,3,2,1,0,0.75,19.2583,1.0
470,0,3,0,0,1,25.0,7.25,3.0
471,0,3,0,0,1,38.0,8.6625,3.0
472,1,2,1,2,0,33.0,27.75,3.0
473,1,2,0,0,0,23.0,13.7917,1.0
474,0,3,0,0,0,22.0,9.8375,3.0
475,0,1,0,0,1,40.0,52.0,3.0
476,0,2,1,0,1,34.0,21.0,3.0
477,0,3,1,0,1,29.0,7.0458,3.0
478,0,3,0,0,1,22.0,7.5208,3.0
479,1,3,0,1,0,2.0,12.2875,3.0
480,0,3,5,2,1,9.0,46.9,3.0
481,0,2,0,0,1,30.0,0.0,3.0
482,0,3,0,0,1,50.0,8.05,3.0
483,1,3,0,0,0,63.0,9.5875,3.0
484,1,1,1,0,1,25.0,91.0792,1.0
485,0,3,3,1,0,21.5,25.4667,3.0
486,1,1,1,0,0,35.0,90.0,3.0
487,0,1,0,0,1,58.0,29.7,1.0
488,0,3,0,0,1,30.0,8.05,3.0
489,1,3,1,1,1,9.0,15.9,3.0
490,0,3,1,0,1,25.0,19.9667,3.0
491,0,3,0,0,1,21.0,7.25,3.0
492,0,1,0,0,1,55.0,30.5,3.0
493,0,1,0,0,1,71.0,49.5042,1.0
494,0,3,0,0,1,21.0,8.05,3.0
495,0,3,0,0,1,25.0,14.4583,1.0
496,1,1,1,0,0,54.0,78.2667,1.0
497,0,3,0,0,1,25.0,15.1,3.0
498,0,1,1,2,0,25.0,151.55,3.0
499,0,3,0,0,1,24.0,7.7958,3.0
500,0,3,0,0,1,17.0,8.6625,3.0
501,0,3,0,0,0,21.0,7.75,2.0
502,0,3,0,0,0,21.5,7.6292,2.0
503,0,3,0,0,0,37.0,9.5875,3.0
504,1,1,0,0,0,16.0,86.5,3.0
505,0,1,1,0,1,18.0,108.9,1.0
506,1,2,0,2,0,33.0,26.0,3.0
507,1,1,0,0,1,40.0,26.55,3.0
508,0,3,0,0,1,28.0,22.525,3.0
509,1,3,0,0,1,26.0,56.4958,3.0
510,1,3,0,0,1,29.0,7.75,2.0
511,0,3,0,0,1,25.0,8.05,3.0
512,1,1,0,0,1,36.0,26.2875,3.0
513,1,1,1,0,0,54.0,59.4,1.0
514,0,3,0,0,1,24.0,7.4958,3.0
515,0,1,0,0,1,47.0,34.0208,3.0
516,1,2,0,0,0,34.0,10.5,3.0
517,0,3,0,0,1,25.0,24.15,2.0
518,1,2,1,0,0,36.0,26.0,3.0
519,0,3,0,0,1,32.0,7.8958,3.0
520,1,1,0,0,0,30.0,93.5,3.0
521,0,3,0,0,1,22.0,7.8958,3.0
522,0,3,0,0,1,25.0,7.225,1.0
523,1,1,0,1,0,44.0,57.9792,1.0
524,0,3,0,0,1,25.0,7.2292,1.0
525,0,3,0,0,1,40.5,7.75,2.0
526,1,2,0,0,0,50.0,10.5,3.0
527,0,1,0,0,1,40.0,221.7792,3.0
528,0,3,0,0,1,39.0,7.925,3.0
529,0,2,2,1,1,23.0,11.5,3.0
530,1,2,1,1,0,2.0,26.0,3.0
531,0,3,0,0,1,25.0,7.2292,1.0
532,0,3,1,1,1,17.0,7.2292,1.0
533,1,3,0,2,0,21.5,22.3583,1.0
534,0,3,0,0,0,30.0,8.6625,3.0
535,1,2,0,2,0,7.0,26.25,3.0
536,0,1,0,0,1,45.0,26.55,3.0
537,1,1,0,0,0,30.0,106.425,1.0
538,0,3,0,0,1,25.0,14.5,3.0
539,1,1,0,2,0,22.0,49.5,1.0
540,1,1,0,2,0,36.0,71.0,3.0
541,0,3,4,2,0,9.0,31.275,3.0
542,0,3,4,2,0,11.0,31.275,3.0
543,1,2,1,0,1,32.0,26.0,3.0
544,0,1,1,0,1,50.0,106.425,1.0
545,0,1,0,0,1,64.0,26.0,3.0
546,1,2,1,0,0,19.0,26.0,3.0
547,1,2,0,0,1,30.0,13.8625,1.0
548,0,3,1,1,1,33.0,20.525,3.0
549,1,2,1,1,1,8.0,36.75,3.0
550,1,1,0,2,1,17.0,110.8833,1.0
551,0,2,0,0,1,27.0,26.0,3.0
552,0,3,0,0,1,25.0,7.8292,2.0
553,1,3,0,0,1,22.0,7.225,1.0
554,1,3,0,0,0,22.0,7.775,3.0
555,0,1,0,0,1,62.0,26.55,3.0
556,1,1,1,0,0,48.0,39.6,1.0
557,0,1,0,0,1,40.0,227.525,1.0
558,1,1,1,1,0,39.0,79.65,3.0
559,1,3,1,0,0,36.0,17.4,3.0
560,0,3,0,0,1,25.0,7.75,2.0
561,0,3,0,0,1,40.0,7.8958,3.0
562,0,2,0,0,1,28.0,13.5,3.0
563,0,3,0,0,1,25.0,8.05,3.0
564,0,3,0,0,0,21.5,8.05,3.0
565,0,3,2,0,1,24.0,24.15,3.0
566,0,3,0,0,1,19.0,7.8958,3.0
567,0,3,0,4,0,29.0,21.075,3.0
568,0,3,0,0,1,25.0,7.2292,1.0
569,1,3,0,0,1,32.0,7.8542,3.0
570,1,2,0,0,1,62.0,10.5,3.0
571,1,1,2,0,0,53.0,51.4792,3.0
